epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.5895,1.21463,5.13424,0.02179,0.82142,0.05149,0.37803,0.19157,1.10537,6.76148,0.02529,0.00065625,0.00065625,0.00065625
2,94.1058,1.29734,3.4994,0.02307,0.72795,0.65041,0.68497,0.34326,1.66743,3.18433,0.04275,0.00129672,0.00129672,0.00129672
3,136.209,1.39149,2.55345,0.02461,0.6592,0.62331,0.6908,0.27778,1.85756,2.15242,0.05028,0.0019108,0.0019108,0.0019108
4,152.353,1.39749,1.97045,0.02551,0.717,0.68293,0.71417,0.36323,1.7194,1.44321,0.0439,0.0018812,0.0018812,0.0018812
5,168.456,1.41722,1.56157,0.025,0.74225,0.67115,0.74865,0.40647,1.63287,1.24609,0.03993,0.0018416,0.0018416,0.0018416
6,184.229,1.40799,1.41336,0.02504,0.7145,0.73248,0.7544,0.39509,1.7406,1.21731,0.04399,0.001802,0.001802,0.001802
7,200.201,1.39918,1.2433,0.02465,0.83177,0.61634,0.72002,0.35144,1.80177,1.36791,0.04476,0.0017624,0.0017624,0.0017624
8,215.939,1.39708,1.16316,0.02498,0.76592,0.70732,0.7679,0.41567,1.66421,1.105,0.04114,0.0017228,0.0017228,0.0017228
9,231.874,1.39641,1.0845,0.02503,0.83767,0.68522,0.77431,0.35285,1.78396,1.15094,0.04409,0.0016832,0.0016832,0.0016832
10,247.618,1.38116,1.04318,0.02504,0.8195,0.7832,0.84195,0.46094,1.6476,0.93024,0.03998,0.0016436,0.0016436,0.0016436
11,263.763,1.34455,1.03341,0.02329,0.8043,0.79081,0.85151,0.4552,1.65381,0.91316,0.0398,0.001604,0.001604,0.001604
12,280.429,1.33543,0.97696,0.02354,0.83873,0.7752,0.82676,0.42164,1.71232,0.96229,0.04136,0.0015644,0.0015644,0.0015644
13,297.378,1.3039,0.91618,0.02256,0.8352,0.73171,0.81227,0.40856,1.82356,1.07718,0.0467,0.0015248,0.0015248,0.0015248
14,314.268,1.32054,0.93254,0.02243,0.86863,0.7705,0.85541,0.4319,1.81319,0.90975,0.04372,0.0014852,0.0014852,0.0014852
15,330.198,1.29212,0.88517,0.02308,0.89166,0.75834,0.87025,0.437,1.75066,0.84173,0.04169,0.0014456,0.0014456,0.0014456
16,346.572,1.26852,0.85181,0.02201,0.90712,0.77507,0.89768,0.51302,1.57109,0.75237,0.03739,0.001406,0.001406,0.001406
17,362.635,1.25713,0.86019,0.02121,0.84348,0.76965,0.83553,0.45416,1.68304,0.97631,0.04424,0.0013664,0.0013664,0.0013664
18,378.795,1.21782,0.79711,0.02163,0.84107,0.74579,0.81496,0.43798,1.74592,0.98629,0.04572,0.0013268,0.0013268,0.0013268
19,394.564,1.24019,0.77472,0.02203,0.82875,0.76152,0.81322,0.41344,1.79517,1.00443,0.04473,0.0012872,0.0012872,0.0012872
20,410.5,1.21936,0.72068,0.02159,0.87364,0.74949,0.84315,0.4354,1.6927,0.94646,0.04023,0.0012476,0.0012476,0.0012476
21,426.27,1.2257,0.76656,0.02098,0.90478,0.82656,0.90825,0.50763,1.54711,0.72521,0.03533,0.001208,0.001208,0.001208
22,442.528,1.20731,0.72067,0.02092,0.84889,0.80689,0.86446,0.49054,1.58553,0.85168,0.03884,0.0011684,0.0011684,0.0011684
23,458.66,1.22955,0.75991,0.02086,0.82876,0.85366,0.87903,0.45167,1.72068,0.82349,0.04247,0.0011288,0.0011288,0.0011288
24,474.845,1.17566,0.68023,0.02005,0.90718,0.8103,0.8944,0.52022,1.59228,0.81514,0.03932,0.0010892,0.0010892,0.0010892
25,490.571,1.17576,0.71432,0.01999,0.90514,0.87915,0.9292,0.54493,1.52519,0.67875,0.0357,0.0010496,0.0010496,0.0010496
26,506.386,1.16223,0.70417,0.01978,0.85104,0.78964,0.86111,0.47276,1.64884,0.93246,0.03937,0.00101,0.00101,0.00101
27,522.456,1.11694,0.68758,0.01839,0.87762,0.79677,0.88486,0.52297,1.59642,0.78312,0.03912,0.0009704,0.0009704,0.0009704
28,538.448,1.14026,0.64805,0.01917,0.8676,0.80217,0.86691,0.47763,1.61892,0.88093,0.038,0.0009308,0.0009308,0.0009308
29,554.341,1.07993,0.59163,0.01791,0.93565,0.80488,0.90738,0.50931,1.6339,0.7246,0.03691,0.0008912,0.0008912,0.0008912
30,570.224,1.08967,0.62657,0.01844,0.93772,0.83469,0.91118,0.5511,1.47933,0.68163,0.03424,0.0008516,0.0008516,0.0008516
31,586.561,1.08196,0.62183,0.01842,0.928,0.81843,0.91672,0.51308,1.59087,0.70239,0.03643,0.000812,0.000812,0.000812
32,602.249,1.0756,0.58504,0.01769,0.89643,0.82094,0.89106,0.53374,1.5273,0.89379,0.03624,0.0007724,0.0007724,0.0007724
33,618.395,1.03974,0.56774,0.01759,0.93213,0.83198,0.92248,0.52804,1.56372,0.72885,0.03624,0.0007328,0.0007328,0.0007328
34,634.299,1.03663,0.54958,0.01769,0.93881,0.81843,0.907,0.53205,1.55249,0.78753,0.03636,0.0006932,0.0006932,0.0006932
35,650.107,1.0351,0.57164,0.01734,0.97058,0.80457,0.91506,0.54522,1.51626,0.73036,0.03419,0.0006536,0.0006536,0.0006536
36,665.668,1.03442,0.53324,0.01721,0.91454,0.8645,0.92818,0.53109,1.55463,0.6821,0.03569,0.000614,0.000614,0.000614
37,681.428,1.01985,0.56193,0.01698,0.91292,0.88078,0.93339,0.5435,1.55665,0.64104,0.03586,0.0005744,0.0005744,0.0005744
38,697.303,1.00023,0.51652,0.01643,0.92342,0.8496,0.91719,0.54056,1.5304,0.70658,0.0356,0.0005348,0.0005348,0.0005348
39,712.963,0.99316,0.5483,0.01575,0.93017,0.86992,0.91862,0.53624,1.55485,0.71987,0.03531,0.0004952,0.0004952,0.0004952
40,729.18,0.98298,0.5293,0.01597,0.93596,0.87534,0.92358,0.52199,1.57753,0.72153,0.0362,0.0004556,0.0004556,0.0004556
41,774.092,0.82865,0.32314,0.01842,0.888,0.81651,0.89419,0.51006,1.61057,0.85289,0.03775,0.000416,0.000416,0.000416
42,789.555,0.80551,0.30562,0.01788,0.95744,0.85095,0.93133,0.53222,1.55168,0.70824,0.03546,0.0003764,0.0003764,0.0003764
43,805.1,0.79122,0.27642,0.01789,0.91917,0.84824,0.92139,0.5355,1.56312,0.76217,0.03622,0.0003368,0.0003368,0.0003368
44,820.509,0.76351,0.27349,0.0164,0.93227,0.85637,0.92925,0.54417,1.52517,0.7384,0.03479,0.0002972,0.0002972,0.0002972
45,836.269,0.7587,0.26997,0.01626,0.89379,0.87263,0.92741,0.5263,1.57721,0.74338,0.03583,0.0002576,0.0002576,0.0002576
